,restaurant_id,location,restaurant_name,address,lat,long,rating,price,category,review_count
331,eMPpgfTIZt-qEZWO1VzvFw,Times Square,City Kitchen,700 8th Ave at 44th St,40.75874,-73.98846,4.0,$$,Food Court,486
332,_8Oq6MmhqLgzQDVYXWLxuA,Times Square,Réunion,357 W 44th St,40.75964943513,-73.991308284398,4.0,$$,Cocktail Bars,692
333,uPe0efNw-uwPybeqccZ1zQ,Times Square,Osteria Al Doge,142 W 44th St,40.75662,-73.9849,4.0,$$$,Italian,473
334,844H9r0tRQZmxiEtjeTW0A,Times Square,The Bar Room,9 W 53rd St,40.7610309319265,-73.9765593703613,4.0,$$$,Lounges,497
335,srhEv1OqoK9W5JRdiMWDyw,Times Square,Ayza Wine & Chocolate Bar,11 W 31st St,40.747177472107396,-73.987011312828,4.0,$$,Wine Bars,1674
336,43r4ynjeIZeQI1w7SWARuQ,Times Square,Topaz Noodle Bar,129 W 56th St,40.764442443847706,-73.9789733886719,4.0,$$,Thai,657
337,TAANt0fPbfHqVP5LyMBioA,Times Square,Kashkaval Garden,852 9th Ave,40.766758,-73.986144,4.0,$$,Mediterranean,574
338,v0opDMezc6pKgdfR22KUnQ,Times Square,Da Tang Szechuan,18 W 38th St,40.75128,-73.98376,4.5,$$,Szechuan,233
339,N4q6Y9cpvUbJ3O5rydrSbQ,Times Square,Shorty's,576 9th Ave,40.758103000000006,-73.992529,4.0,$$,Bars,686
340,k7n_31GE1Yq1KD77_DO1Tw,Times Square,Chick-fil-A,1000 Avenue Of The Americas,40.751726,-73.9860817,4.0,$,Fast Food,581
341,qY1o1MhoRyN84RRhUJtvpQ,Times Square,Her Name Is Han,17 E 31st St,40.74626,-73.98473,4.0,$$,Korean,1194
342,1z5Nu66M6W8mk5Ap4osZwA,Times Square,The NoMad Restaurant,1170 Broadway,40.7449,-73.98848199999999,4.0,$$$,French,1477
343,Ve6GVzzJpR5QIIPdcn6ViQ,Times Square,Mercato,352 W 39th St,40.756190000000004,-73.9937,4.0,$$,Italian,884
344,9yc2V6zNpLG58uPV_ykBog,Times Square,Boqueria West 40th St,260 W 40th St,40.75558,-73.99011999999999,4.0,$$,Tapas/Small Plates,399
345,tD1pDzU-x8gGodC4nGnY9g,Times Square,NORMA'S,119 W 56th St,40.7641277134065,-73.97837952271921,3.5,$$$,Breakfast & Brunch,1717
346,qYqe-kArMUebiEvxUPUlVg,Times Square,The Picnic Basket,65 W 37th St,40.75162460000001,-73.9858858,4.0,$$,Cafes,442
347,QH9vS9_Q5um3b8sZntZiyw,Times Square,The Jolly Goat Coffee Bar,515 W 47th St,40.76330106441029,-73.99419283345179,4.5,$,Coffee & Tea,341
348,wrFoBJM9SsHIfz2VaqgmSg,Times Square,Dallas BBQ,241 W 42nd St,40.756983585918896,-73.9888188242912,3.0,$$,Barbeque,1773
349,-QIPdiq5ILg_EJqdVoCqEA,Times Square,Istanbul Kebab House,712 9th Ave,40.76256,-73.98940999999999,4.0,$$,Turkish,542
350,u-MUL83NUy2gsbV80WZnAA,Times Square,The Marshal,628 10th Ave,40.76122,-73.99396,4.0,$$$,American (Traditional),726
351,ryng69yOCoveA68KE6jl-Q,Times Square,STK Midtown,1114 Avenue Of The Americas,40.754669,-73.98285,3.5,$$$,Steakhouses,981
352,wRHUJ69-f4CiV5BRY72mUg,Times Square,Aqua Boil,750 9th Ave,40.763702,-73.988386,4.5,$$,Seafood,230
353,S-BwjmHOZ--bC4nUR4-cmA,Times Square,Oceana,120 W 49th St,40.759797124856796,-73.9825657859833,4.0,$$$,Seafood,532
354,h4VCnZ2aZ33mdenS_ZI7jQ,Times Square,Mama Mia 44 SW,621 9th Ave,40.759761,-73.992065,4.0,$$,Pizza,581
355,qs5aBgcT2v1BFlW-XqQS0Q,Times Square,Biryani Cart,46th St & 6th Ave,40.757403000000004,-73.9822503,3.5,$,Indian,542
356,228DO__YwYmliMx6Q5jTtw,Times Square,Turco Mediterranean Grill,604 9th Ave,40.75913,-73.9918,4.0,$$,Mediterranean,556
357,MwcRbM6lS6_8N67LmyBELA,Times Square,99 Cent Fresh Pizza,1723 Broadway,40.76458,-73.98246999999999,4.0,$,Pizza,520
358,AT12PEBFRWFox6l2tr7w4w,Times Square,Junior's Restaurant & Bakery - 49th St.,1626 Broadway,40.76095,-73.98412990000001,3.5,$$,American (Traditional),693
359,Nz3ednIoYXg1NwOn7jnTOQ,Times Square,The Counter,7 Times Square,40.7554585,-73.9869055,3.5,$$,Burgers,884
360,MvmuCDXPliFUYJ7B7Y02AA,Times Square,Menkui-Tei,58 W 56th St,40.763259999999995,-73.97706,3.5,$$,Ramen,1050
361,Jhx4OoFjXFp0YxqbW0KQog,Times Square,Butter Midtown,70 W 45th St,40.7562781,-73.9823303,3.5,$$$,American (New),1011
362,goqTQ4tOD-asC_ZJBW9l7w,Times Square,Patsy's Italian Restaurant,236 W 56th St,40.76553,-73.98274,4.0,$$$,Italian,912
363,432F7ulSgnm1fNyefqgrNw,Times Square,Strip House,15 W 44th St,40.75529820928271,-73.98068987648001,4.0,$$$$,Steakhouses,535
364,BqKuDTR5UfzaXA39_wH3Yg,Times Square,Fresh From Hell,326 W 47th St,40.7608265,-73.9889803,4.5,$$,Salad,261
365,0vSAR3Ym2fuehBvHSZyqIQ,Times Square,Koi Restaurant,40 W 40th St,40.752987,-73.983824,3.5,$$$,Sushi Bars,760
366,XK8DnTYgZGoZKuihH4_cpg,Times Square,Taboon,773 10th Ave,40.7661052157931,-73.99098937177129,4.0,$$$,Middle Eastern,654
367,u5gLdI6l6zsPxL2kOYbyfw,Times Square,Nizza,630 9th Ave,40.76018,-73.99113,3.5,$$,Italian,749
368,PAJdNrD4HFBN16OAFeDx4A,Times Square,Ponche Taqueria & Cantina,420 W 49th St,40.76319,-73.99045,4.0,$$,Mexican,495
369,mZh8dgA3JKx8SL5dFWAJkQ,Times Square,BXL Cafe,125 W 43rd St,40.75618,-73.98461,3.5,$$,Pubs,523
370,rA4CDLdNtwnszjGT_KWzPQ,Times Square,Kahve,786 9th Ave,40.764829999999996,-73.98774,4.0,$,Cafes,552
371,ue-iu3tMiHAv7JR0YuhOww,Times Square,Hell's Kitchen,754 9th Ave,40.7638823425707,-73.9884334000586,4.0,$$,Mexican,411
372,fUcjBGgmTlvxXn2azvAijw,Times Square,Yumpling Food Truck,,40.7602691650391,-73.9801940917969,4.5,$$,Taiwanese,111
373,tRIHhPKryUZ56SfIz6mLiA,Times Square,Angelo's Coal Oven Pizzeria,117 W 57th St,40.764920000000004,-73.97794,4.0,$$,Pizza,878
374,K_nsaXmlsyg0I8PoIjPXrA,Times Square,Morton's The Steakhouse,551 5th Ave,40.755215299999996,-73.9787657,4.0,$$$$,Steakhouses,515
375,3o0W7asUgP7EEKn8iFWFyA,Times Square,Casa Nonna,310 W 38th St,40.75496,-73.99247,4.0,$$$,Italian,542
376,BxNs9d8rEW3Tls-nVdmIgA,Times Square,Reichenbach Hall,5 W 37th St,40.7508,-73.98401,4.0,$$,Bars,756
377,kC6VZfrwFvav9PryA3eRCA,Times Square,Bar SixtyFive,30 Rockefeller Plz,40.7591284113218,-73.97967032040859,4.0,$$$,Cocktail Bars,343
378,bS5PXrKty7EExK8tie0GJQ,Times Square,Tender Steak & Sushi,130 W 47th St,40.75844,-73.98306,4.0,$$$,Sushi Bars,343
379,IFZ3_d01uflGixWrrD8_gg,Times Square,Ariana Afghan Kebab Restaurant,787 9th Ave,40.76515,-73.98813,4.0,$$,Afghan,482
380,cxtg17yy1YFt8gHRckUQcw,Times Square,Num Pang Kitchen,140 E 41st St,40.7503831245874,-73.9761078759491,4.0,$$,Cambodian,1120
381,pb_ryc8FYHpUPV56eV2Eyg,Times Square,Brooklyn Bagel & Coffee Company,286 8th Ave,40.746183,-73.997642,4.0,$,Bagels,1429
382,KIIYvTOc0Uv90aUHEGvoSg,Times Square,La Grenouille,3 E 52nd St,40.75972,-73.97555,4.0,$$$$,French,434
383,ZyfOt84HvbX4FsqGLOZqCw,Times Square,Schnipper's,620 8th Ave,40.756399490553996,-73.9901816374344,3.5,$$,Burgers,966
384,xWUL-j6TQyKQHIfOtetu-Q,Times Square,HanGawi,12 E 32nd St,40.746736999999996,-73.984662,4.0,$$$,Vegetarian,1164
385,oY-tooKEm8F-6Il1JOQzKg,Times Square,Souvlaki GR,162 W 56th St,40.76465,-73.98029,4.0,$$,Greek,631
386,bpOgimL_paWkF1AusXE8cA,Times Square,The View Restaurant & Lounge,1535 Broadway,40.758992,-73.986326,3.0,$$$$,Lounges,1082
387,XoDR_T-ZKYJtZgCocEDcyA,Times Square,Print,653 11th Ave,40.764520000000005,-73.99586,4.0,$$$,American (New),891
388,bjzBkF2FFMsdkCk50xseFQ,Times Square,Etcetera Etcetera,352 W 44th St,40.75926,-73.99115,4.0,$$$,Italian,428
389,BF6pY829iPBERt15CG1g3w,Times Square,At Nine Restaurant & Bar,592 9th Ave,40.758697,-73.992064,4.0,$$,Thai,484
390,PGpCaNkB1meojnbgRmb2gQ,Times Square,Buena Vista Restaurant & Bar,536 9th Ave,40.756859999999996,-73.99356,4.5,$$,Latin American,182
391,v0DwpyNrKeS2ZhfMjVu8lg,Times Square,CajunSea & Oyster Bar,32 W 33rd St,40.7483352,-73.98677009999999,4.0,$$,Cajun/Creole,1230
392,HuSaFUqMDLbovpU-XbR9UA,Times Square,The Original Soupman,259A W 55th St,40.765361172149895,-73.9834392665359,4.0,$,Soup,477
393,iq9_CMtUT1SwGcEL8fSDNQ,Times Square,R Lounge at Two Times Square,"Two Times Square, 714 Seventh Avenue at W. 48th Street",40.759683705851,-73.9845943450927,4.0,$$,Lounges,332
394,eTpbkIg-vRjDWs6ua7LfFA,Times Square,Crisp,110 W 40th St,40.753698,-73.985967,4.0,$$,Mediterranean,398
395,zR92VSkXj1rt5KTJ15bkAw,Times Square,Benjamin Prime,23 E 40th St,40.7514936031,-73.9798496845097,4.5,$$$$,Steakhouses,299
396,yrXECkTezsI0Twgalc7M-A,Times Square,Bolivian Llama Party,1000 S 8th Ave,40.694983,-73.991036,4.5,$,Food Stands,348
397,D924bgYbBg-WN8PCCBXhEw,Times Square,St Kilda Coffee,328 W 44th St,40.7588882446289,-73.9902648925781,4.5,$,Cafes,189
398,jDIVPYpxQAk1HUAi0NIlQw,Times Square,Pazza Notte,1375 Avenue Of The Americas,40.763509899999995,-73.97800000000001,4.0,$$,Italian,791
399,_saXnBy0Wq2Gb3YusWZhqw,Times Square,Five Senses,9 W 32nd St,40.747573158626,-73.9863122632311,4.0,$$,Korean,1423
400,c8FID4VcTtDDONokhACvfQ,Times Square,O'Lunney's,145 W 45th St,40.75759,-73.98438,4.0,$$,Irish,396
401,luA6pI0K6AWU_ivxqykdiA,Times Square,44 & X Hell's Kitchen,622 10th Ave,40.7611032,-73.9941787,3.5,$$,American (New),881
402,FvCslLyo0SlDKI52bEDekQ,World Trade Center,Nish Nush,41 John St,40.709472,-74.007949,4.5,$$,Vegetarian,294
403,hAmf5Tfs0OhllZHAmO-12g,World Trade Center,Tartinery Hudson Eats,225 Liberty St,40.712338,-74.01588000000001,4.0,$$,French,368
